gan_bank_accession_s	assembly	proposed_name	paper_name	host	host_alt	host_simple	collection	ncbi_isolation_source	isolation_manual	isolation_specific	link	MosAIC_source_specific	MosAIC_source_lab	Location 	MosAIC_lab_field	Mosquito_spp
NZ_JSBO01000000	GCF_000803045.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JMUP01000000	GCF_000692235.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LETM01000000	GCF_001037815.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LETC01000000	GCF_001037595.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JCLH01000000	GCF_000534495.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JWBJ01000000	GCF_001052225.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDCG01000000	GCF_001011895.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JTEP01000000	GCF_000794145.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LETB01000000	GCF_001037565.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LFHB01000000	GCF_001187305.1	E. xiangfangensis	E. xiangfangensis	long beans	NonMosquito	Plant	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LETJ01000000	GCF_001037745.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AYIY01000000	GCF_000492855.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JUHV01000000	GCF_000802695.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JTCA02000000	GCF_000784055.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JUIA01000000	GCF_000802785.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JUIC01000000	GCF_000802825.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JTCB02000000	GCF_000784075.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JCLQ01000000	GCF_000534675.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JYMI01000000	GCF_000952455.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JYLZ01000000	GCF_000952675.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JYMJ01000000	GCF_000952475.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JYMN01000000	GCF_000952405.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JYMO01000000	GCF_000952415.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JYMA01000000	GCF_000952505.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JYMK01000000	GCF_000952555.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JYMB01000000	GCF_000952215.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JZCV01000000	GCF_000958695.1	E. xiangfangensis	E. xiangfangensis	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
