assembly_id	File_prefix	biosample	Species	source	host	host_simple	isolation_year	region	Collection	mos_aic_source_specific	mos_aic_source_lab	location	mos_aic_lab_field	mosquito_spp
SKLX001947	GCA_025197685.1	SAMN15461063	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2011	Asia	Hu	NA	NA	NA	NA	NA
SKLX003417	GCA_025197665.1	SAMN15461064	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2011	Asia	Hu	NA	NA	NA	NA	NA
SKLX003829	GCA_025197605.1	SAMN15461065	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2011	Asia	Hu	NA	NA	NA	NA	NA
SKLX005747	GCA_025197625.1	SAMN15461066	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2012	Asia	Hu	NA	NA	NA	NA	NA
SKLX006878	GCA_025197635.1	SAMN15461067	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2012	Asia	Hu	NA	NA	NA	NA	NA
SKLX007682	GCA_025197585.1	SAMN15461068	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2012	Asia	Hu	NA	NA	NA	NA	NA
SKLX009292	GCA_025197515.1	SAMN15461069	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX010714	GCA_025197535.1	SAMN15461070	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX011433	GCA_025197505.1	SAMN15461071	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX012239	GCA_025197525.1	SAMN15461072	Elizabethkingia anophelis	Abdominal fluid	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX012265	GCA_025197485.1	SAMN15461073	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX012439	GCA_025197465.1	SAMN15461074	Elizabethkingia anophelis	Urine	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX013456	GCA_025197425.1	SAMN15461075	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX013563	GCA_025197435.1	SAMN15461076	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX014141	GCA_025197405.1	SAMN15461077	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX014219	GCA_025197305.1	SAMN15461078	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX014283	GCA_025197335.1	SAMN15461079	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX014470	GCA_025197325.1	SAMN15461080	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX014507	GCA_025197365.1	SAMN15461081	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX014884	GCA_025197285.1	SAMN15461082	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX015274	GCA_025197245.1	SAMN15461083	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX015513	GCA_025197385.1	SAMN15461084	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX015688	GCA_025197225.1	SAMN15461085	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2013	Asia	Hu	NA	NA	NA	NA	NA
SKLX017907	GCA_025197205.1	SAMN15461086	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX018915	GCA_025197185.1	SAMN15461087	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX019261	GCA_025197145.1	SAMN15461088	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX019341	GCA_025197125.1	SAMN15461089	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX019345	GCA_025197105.1	SAMN15461090	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX019385	GCA_025197165.1	SAMN15461091	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX023954	GCA_025197255.1	SAMN15461092	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX024812	GCA_025197085.1	SAMN15461093	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX025023	GCA_025197065.1	SAMN15461094	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX025035	GCA_025197045.1	SAMN15461095	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX025194	GCA_025197025.1	SAMN15461096	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX025651	GCA_025196965.1	SAMN15461097	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX026315	GCA_025196975.1	SAMN15461098	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX026729	GCA_025197005.1	SAMN15461099	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX026968	GCA_025196925.1	SAMN15461100	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX027606	GCA_025196905.1	SAMN15461101	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX027793	GCA_025196875.1	SAMN15461102	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX028902	GCA_025196865.1	SAMN15461103	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX029095	GCA_025196825.1	SAMN15461104	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
