gtdb_species,internal_id,sample_source,PRODUCT
Achromobacter ruhlandii,MMO-104,mosquito,31
Achromobacter ruhlandii,MMO-123,mosquito,31
Achromobacter ruhlandii,MMO-124,mosquito,31
Achromobacter ruhlandii,MMO-144,mosquito,31
Achromobacter ruhlandii,MMO-82,mosquito,31
Acinetobacter beijerinckii,AS096,mosquito_larval_water,13
Acinetobacter bereziniae,HN105,mosquito_larval_water,9
Acinetobacter fasciculus,USHLN143,mosquito,5
Acinetobacter johnsonii,HN020,mosquito_larval_water,10
Acinetobacter junii,AS116,mosquito_larval_water,15
Acinetobacter modestus,HN047,mosquito_larval_water,10
Acinetobacter modestus,HN068,mosquito_larval_water,13
Acinetobacter modestus,HN123,mosquito,13
Acinetobacter modestus,HN126,mosquito,13
Acinetobacter modestus,HN127,mosquito,13
Acinetobacter modestus,HN132,mosquito_larval_water,14
Acinetobacter nosocomialis,M51,mosquito,97
Acinetobacter nosocomialis,MMO-128,mosquito_larval_water,97
Acinetobacter nosocomialis,MMO-143,mosquito,97
Acinetobacter nosocomialis,VD14,mosquito,97
Acinetobacter oleivorans,AA010,mosquito_larval_water,95
Acinetobacter pittii,HN067,mosquito_larval_water,101
Acinetobacter pittii,HN071,mosquito_larval_water,101
Acinetobacter pittii,HN093,mosquito_larval_water,101
Acinetobacter pittii,HN099,mosquito_larval_water,101
Acinetobacter pittii,MMO-130,mosquito_larval_water,101
Acinetobacter pittii,MMO-131,mosquito_larval_water,101
Acinetobacter pittii,MMO-163,mosquito,101
Acinetobacter pittii_H,HN034,mosquito_larval_water,89
Acinetobacter pittii_H,HN041,mosquito_larval_water,86
Acinetobacter pittii_H,HN059,mosquito_larval_water,87
Acinetobacter soli,HN121,mosquito,5
Acinetobacter soli,HN122,mosquito,5
Acinetobacter soli,USMM066,mosquito,5
Acinetobacter soli,USMM068,mosquito,5
Acinetobacter tandoii,AS013,mosquito_larval_water,9
Aeromonas hydrophila,MMO-14,mosquito_larval_water,201
Aeromonas hydrophila,MMO-36,mosquito_larval_water,201
Aeromonas hydrophila,MMO-41,mosquito_larval_water,201
Aeromonas hydrophila,MMO-44,mosquito_larval_water,201
Aeromonas hydrophila,S242,mosquito,175
Aeromonas hydrophila,USHLN021,mosquito,205
Asaia bogorensis,HN182,mosquito,0
Asaia bogorensis,MMO-33,mosquito,0
Asaia bogorensis,MMO-34,mosquito,0
Asaia bogorensis,MMO-95,mosquito,0
Asaia bogorensis,MMO-97,mosquito,0
Asaia sp003994335,HN128,mosquito,0
Asaia sp003994335,VD9,mosquito,0
Atlantibacter hermannii,VD11,mosquito,31
Aureimonas altamirensis,USHLN268,mosquito,3
Aureimonas altamirensis,USHLN278,mosquito,3
Bacillus altitudinis,USHLN197,mosquito,0
Bacillus altitudinis,USHLN211,mosquito,0
Bacillus licheniformis,MMO-114,mosquito,10
Bacillus subtilis,USHLN188,mosquito,10
Bacillus subtilis,USHLN190,mosquito,10
Bacillus_A bombysepticus,USHLN022,mosquito,88
Bacillus_A cereus,LB14,mosquito,87
Bacillus_A cereus,MMO-25,mosquito,88
Bacillus_A cereus,USHLN168,mosquito,96
Bacillus_A cereus,USHLN172,mosquito,84
Bacillus_A cereus,USHLN181,mosquito,93
Bacillus_A cereus,USHLN183,mosquito,83
Bacillus_A cereus,USHLN192,mosquito,84
Bacillus_A cereus,USHLN195,mosquito,84
Bacillus_A cereus_AG,USMM074,mosquito,82
Bacillus_A cereus_AG,USMM075,mosquito,82
Bacillus_A thuringiensis,USHLN193,mosquito,102
Bacillus_A thuringiensis,USMM086,mosquito,97
Bacillus_A thuringiensis,USMM087,mosquito,97
Bacillus_A thuringiensis_S,USHLN152,mosquito,95
Bacillus_A thuringiensis_S,USMM088,mosquito,95
Bacillus_A toyonensis,USMM091,mosquito,83
Bacillus_A toyonensis,USMM093,mosquito,83
Bacillus_AB infantis,USMM117,mosquito,0
Bacillus_AB infantis,USMM118,mosquito,0
Bacillus_AG koreensis,USHLN023,mosquito,0
Brevundimonas aurantiaca,USMM102,mosquito,0
Brevundimonas aurantiaca,USMM103,mosquito,0
Brevundimonas aurantiaca,USMM104,mosquito,0
Brevundimonas aurantiaca,USMM105,mosquito,0
Brevundimonas nasdae_A,USMM111,mosquito,0
Burkholderia gladioli,VD34,mosquito,53
Cedecea sp000277545,AS113,mosquito_larval_water,29
Cedecea sp000277545,HN178,mosquito_larval_water,29
Cedecea sp000277545,MMO-103,mosquito,29
Cedecea sp000277545,USHLN005,mosquito,28
Cedecea sp000277545,VD19,mosquito,27
Cedecea sp000277545,VD20,mosquito,27
Cedecea sp000277545,VD21,mosquito,27
Cedecea sp000277545,VD22,mosquito,27
Cedecea sp000277545,VD23,mosquito,27
Cedecea sp000277545,VD25,mosquito,27
Cedecea sp000277545,VD26,mosquito,27
Cedecea sp000277545,VD27,mosquito,27
Cedecea sp000277545,VD28,mosquito,27
Cedecea sp000277545,VD31,mosquito,27
Cedecea sp000277545,VD32,mosquito,27
Cellulosimicrobium cellulans_E,USHLN208,mosquito,1
Chania oryzae,HN079,mosquito,16
Chania oryzae,MMO-151,mosquito_larval_water,14
Chania oryzae,MMO-24,mosquito,14
Chania oryzae,MMO-28,mosquito,14
Chryseobacterium bernardetii_A,MMO-17,mosquito,0
Chryseobacterium contaminans,USHLN009,mosquito,0
Chryseobacterium indologenes_F,USHLN259,mosquito,0
Chryseobacterium indologenes_F,USHLN267,mosquito,0
Chryseobacterium mucoviscidosis,USHLN227,mosquito,0
Chryseobacterium sp013153155,MMO-127,mosquito_larval_water,0
Chryseobacterium sp013153155,MMO-55,mosquito,0
Chryseobacterium sp013153155,MMO-72,mosquito_larval_water,0
Chryseobacterium sp013153155,VD8,mosquito,0
Citricoccus terreus,MMO-160,mosquito,2
Comamonas acidovorans,MMO-109,mosquito,1
Comamonas acidovorans,MMO-42,mosquito_larval_water,1
Curtobacterium sp001806325,USHLN213,mosquito,0
Elizabethkingia anophelis,MMO-105,mosquito,0
Elizabethkingia anophelis,MMO-16,mosquito_larval_water,0
Elizabethkingia anophelis,MMO-21,mosquito_larval_water,0
Elizabethkingia anophelis,USMM094,mosquito,0
Elizabethkingia anophelis,USMM095,mosquito,0
Elizabethkingia anophelis,USMM096,mosquito,0
Elizabethkingia anophelis,USMM097,mosquito,0
Elizabethkingia meningoseptica,LB11,mosquito,0
Elizabethkingia meningoseptica,LB15,mosquito,0
Elizabethkingia meningoseptica,LB26,mosquito,0
Elizabethkingia meningoseptica,USMM049,mosquito,0
Elizabethkingia meningoseptica,USMM050,mosquito,0
Elizabethkingia meningoseptica,USMM056,mosquito,0
Elizabethkingia meningoseptica,USMM057,mosquito,0
