gene_name	core	inter	rare	total	details	general_class	specific_class
group_11906	45	0	0	45	Core: 1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45 Inter:  Rare: 	Core	Collection core
group_11820	45	0	0	45	Core: 1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45 Inter:  Rare: 	Core	Collection core
group_11591	45	0	0	45	Core: 1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45 Inter:  Rare: 	Core	Collection core
group_11532	45	0	0	45	Core: 1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45 Inter:  Rare: 	Core	Collection core
group_11046	45	0	0	45	Core: 1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45 Inter:  Rare: 	Core	Collection core
group_9962	45	0	0	45	Core: 1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45 Inter:  Rare: 	Core	Collection core
mtnA	45	0	0	45	Core: 1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45 Inter:  Rare: 	Core	Collection core
group_9895	45	0	0	45	Core: 1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45 Inter:  Rare: 	Core	Collection core
group_9718	45	0	0	45	Core: 1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45 Inter:  Rare: 	Core	Collection core
aceK	45	0	0	45	Core: 1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45 Inter:  Rare: 	Core	Collection core
