internal_id	seq_run	seq_sumission_date	data_return_date	internal_date_isolate_received	source_lab	isolation_date	sample_location	sample_location_lat	sample_location_lon	sample_source	lab_field_derived	host_species_non_mosquito	life_stage_non_mosquito	sex_non_mosquito	tissue_non_mosquito	mosquito_species	mosquito_strain_lab*	mosquito_life_stage	mosquito_sex	mosquito_female_feeding_status	mosquito_tissue	confirmed_growth_media	confirmed_growth_temp	completeness	contamination	genome_size_bp	number_contigs	mean_contig_length_bp	longest_contig_bp	gc	number_predicted_genes	n50	total_reads	avg_coverage	gtdb_domain	gtdb_parent	gtbd_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	fastani_reference	fastani_ani...45	fastani_af...46	fastani_ani...49	fastani_af...50	assembly_accession	WGS	BioSample
USHLN005	UW-2	07-Jul-22	19-Aug-22	06-May-21	Brackney_Doug	16-Jun-18	"New_Haven,CT,USA;North_America"	41.316307	-72.922585	mosquito	lab	NA	NA	NA	NA	Aedes_aegypti	Orlando	adults	female	blood_fed	midgut	LB	30	99.99	0.36	4763699	94	50677	767908	54.9	4482	264713	4162396	130	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cedecea	Cedecea sp000277545	GCF_000277545.1	99.98	0.97	99.98	0.97	GCA_037153355.1	JBBCKL000000000	SAMN37642562
USHLN009	UW-3	23-Aug-22	09-Sep-22	06-May-21	Brackney_Doug	13-Jul-18	"New_Haven,CT,USA;North_America"	41.330584	-72.919524	mosquito	field	NA	NA	NA	NA	Aedes_aegypti	NA	adults	female	blood_fed	midgut	LB	30	100	0.49	4706418	48	98050	856124	35.7	4209	418526	4334132	136	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium contaminans	GCF_001684955.1	96.93	0.91	96.93	0.91	GCA_037153315.1	JBBCKM000000000	SAMN37642568
USHLN010	UW-3	23-Aug-22	09-Sep-22	06-May-21	Brackney_Doug	17-Jun-18	"New_Haven,CT,USA;North_America"	41.316307	-72.922585	mosquito	lab	NA	NA	NA	NA	Aedes_aegypti	Orlando	adults	female	blood_fed	midgut	LB	30	99.67	0.55	4926074	41	120148	2577902	52.9	4428	2577902	4109283	124	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rouxiella	Rouxiella badensis	GCF_002093665.1	99.65	0.98	99.65	0.98	GCA_037153295.1	JBBCKN000000000	SAMN37642564
USHLN014	UW-2	07-Jul-22	19-Aug-22	06-May-21	Brackney_Doug	20-Jun-18	"New_Haven,CT,USA;North_America"	41.316307	-72.922585	mosquito	lab	NA	NA	NA	NA	Aedes_aegypti	Orlando	adults	female	blood_fed	midgut	LB	30	99.66	1.11	4606712	30	153557	866753	69.1	4034	353353	3649944	116	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas_A	Pseudoxanthomonas_A sp004284195	GCF_004284195.1	97.5	0.9	97.5	0.9	GCA_037153335.1	JBBCKO000000000	SAMN37642565
USHLN015	UW-2	07-Jul-22	19-Aug-22	06-May-21	Brackney_Doug	13-Jul-18	"New_Haven,CT,USA;North_America"	41.330584	-72.919524	mosquito	field	NA	NA	NA	NA	Aedes_aegypti	NA	adults	female	blood_fed	midgut	LB	30	99.68	0.87	6627869	61	108653	639403	66.9	5984	409814	3779556	77	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_F	Pseudomonas_F sp003234055	GCF_012767755.2	97.65	0.92	97.65	0.92	GCA_037153275.1	JBBCKP000000000	SAMN37642567
USHLN018	UW-2	07-Jul-22	19-Aug-22	06-May-21	Brackney_Doug	13-Jul-18	"New_Haven,CT,USA;North_America"	41.330584	-72.919524	mosquito	field	NA	NA	NA	NA	Aedes_aegypti	NA	adults	female	blood_fed	midgut	LB	30	99.43	0.32	5024320	109	46094	1201811	38.1	5140	652230	3386572	100	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_H	Priestia	Priestia megaterium	GCF_000832985.1	96.76	0.92	96.76	0.92	GCA_037153255.1	JBBCKQ000000000	SAMN37642566
USHLN06	UW-1	29-Sep-21	01-Nov-21	06-May-21	Brackney_Doug	08-Jun-18	"New_Haven,CT,USA;North_America"	41.316307	-72.922585	mosquito	lab	NA	NA	NA	NA	Aedes_aegypti	Orlando	adults	female	blood_fed	midgut	LB	30	100	0.39	5454526	97	56232	976230	57.4	5105	384742	4842138	131	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella variicola	GCF_000828055.2	99.26	0.95	99.26	0.95	GCA_037153195.1	JBBCKR000000000	SAMN37642560
USHLN08	UW-1	29-Sep-21	01-Nov-21	06-May-21	Brackney_Doug	13-Jun-18	"New_Haven,CT,USA;North_America"	41.316307	-72.922585	mosquito	lab	NA	NA	NA	NA	Aedes_aegypti	Orlando	adults	female	blood_fed	midgut	LB	30	99.81	0.07	5257300	61	86185	1161219	59.7	4874	568010	4223262	119	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia nevei	GCF_016742975.1	98.81	0.88	98.81	0.88	GCA_037153235.1	JBBCKS000000000	SAMN37642561
USHLN16	UW-1	29-Sep-21	01-Nov-21	06-May-21	Brackney_Doug	17-Jun-18	"New_Haven,CT,USA;North_America"	41.316307	-72.922585	mosquito	lab	NA	NA	NA	NA	Aedes_aegypti	Orlando	adults	female	blood_fed	midgut	LB	30	100	0.99	6156243	123	50050	883872	55.9	5741	277711	4543941	109	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis	GCF_002925905.1	98.52	0.89	98.52	0.89	GCA_037153215.1	JBBCKT000000000	SAMN37642563
USMM074	UW-3	23-Aug-22	09-Sep-22	21-Oct-21	Caragata_Eric	14-Jul-21	"Vero_Beach,FL,USA;North_America"	27.586919	-80.375486	mosquito	field	NA	NA	NA	NA	Culex_nigripalpus	NA	adults	female	non_blood_fed	whole_body	LB	28	99.01	0.5	5874048	127	46252	1049521	35.2	6103	269186	3883957	98	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A cereus_AG	GCF_900094905.1	99.91	0.95	99.91	0.95	GCA_037153175.1	JBBCKU000000000	SAMN37642586
