#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
AA010_contigs.fa	contig00001	113766	114708	-	VFG037748(gb|YP_001085628)	1-943/984	===============	0/0	95.83	82.72	VFDB_full		VFG037748(gb|YP_001085628) (lpxM) lipid A biosynthesis lauroyl acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ATCC 17978]	
AA010_contigs.fa	contig00001	380608	382042	-	VFG037735(gb|WP_000633124)	6-1440/1449	===============	0/0	99.03	84.18	VFDB_full		VFG037735(gb|WP_000633124) (adeH) outer membrane protein [AdeFGH efflux pump (VF0504) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00001	382060	385239	-	VFG037724(gb|WP_001027061)	1-3180/3180	===============	0/0	100.00	91.26	VFDB_full		VFG037724(gb|WP_001027061) (adeG) cation/multidrug efflux pump [AdeFGH efflux pump (VF0504) - Biofilm (VFC0271)] [Acinetobacter baumannii BJAB0715]	
AA010_contigs.fa	contig00001	385246	386466	-	VFG037705(gb|WP_000010636)	1-1221/1221	===============	0/0	100.00	87.31	VFDB_full		VFG037705(gb|WP_000010636) (adeF) membrane-fusion protein [AdeFGH efflux pump (VF0504) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00001	399065	400822	+	VFG050781(gb|WP_001020905.1)	1-1758/1758	===============	0/0	100.00	85.67	VFDB_full		VFG050781(gb|WP_001020905.1) (gspE2) putative secretion pathway ATPase [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii SDF]	
AA010_contigs.fa	contig00001	438848	439987	+	VFG050878(gb|WP_005119956.1)	1-1140/1140	===============	0/0	100.00	82.37	VFDB_full		VFG050878(gb|WP_005119956.1) (gspL) general secretion pathway protein L [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]	
AA010_contigs.fa	contig00001	439987	440466	+	VFG050891(gb|WP_000783000.1)	1-480/480	===============	0/0	100.00	86.46	VFDB_full		VFG050891(gb|WP_000783000.1) (gspM) general secretion pathway protein M [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii AYE]	
AA010_contigs.fa	contig00001	545942	547189	+	VFG037678(gb|WP_000866237)	1-1248/1248	===============	0/0	100.00	81.97	VFDB_full		VFG037678(gb|WP_000866237) (pgaC) poly-beta-16 N-acetyl-D-glucosamine synthase [PNAG (VF0472) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00001	667220	669001	+	VFG050901(gb|WP_005119983.1)	1-1782/1782	===============	0/0	100.00	92.20	VFDB_full		VFG050901(gb|WP_005119983.1) (cpaA) metalloendopeptidase CpaA [CpaA (VF1336) - Exoenzyme (VFC0251)] [Acinetobacter baumannii BJAB0715]	
AA010_contigs.fa	contig00001	672240	674468	+	VFG037195(gb|WP_000633005)	1-2229/2229	===============	0/0	100.00	89.73	VFDB_full		VFG037195(gb|WP_000633005) (plc2) phospholipase C [Phospholipase C (VF0470) - Exotoxin (VFC0235)] [Acinetobacter baumannii SDF]	
AA010_contigs.fa	contig00001	760079	761149	+	VFG037843(gb|WP_000865435)	1-1071/1071	========/======	2/4	99.81	85.65	VFDB_full		VFG037843(gb|WP_000865435) (lpxD) UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00001	761638	762426	+	VFG037790(gb|WP_000064875)	1-789/789	===============	0/0	100.00	84.03	VFDB_full		VFG037790(gb|WP_000064875) (lpxA) acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00001	1322760	1323935	-	VFG037813(gb|WP_015451520)	1-1176/1176	===============	0/0	100.00	89.12	VFDB_full		VFG037813(gb|WP_015451520) (lpxB) lipid-A-disaccharide synthase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00001	1400543	1401480	-	VFG050858(gb|WP_000301478.1)	21-958/960	===============	0/0	97.71	81.24	VFDB_full		VFG050858(gb|WP_000301478.1) (gspK) general secretion pathway protein K [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii AB0057]	
AA010_contigs.fa	contig00001	1401519	1402118	-	VFG050854(gb|WP_000594591.1)	84-683/702	.==============	0/0	85.47	83.00	VFDB_full		VFG050854(gb|WP_000594591.1) (gspJ) general secretion pathway protein J [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii SDF]	
AA010_contigs.fa	contig00001	1402255	1402635	-	VFG050838(gb|WP_000836911.1)	1-381/381	===============	0/0	100.00	83.99	VFDB_full		VFG050838(gb|WP_000836911.1) (gspI) general secretion pathway protein I [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00001	1402625	1403179	-	VFG050819(gb|WP_000841373.1)	1-555/555	========/======	4/4	99.64	81.51	VFDB_full		VFG050819(gb|WP_000841373.1) (gspH) general secretion pathway protein H [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii AYE]	
AA010_contigs.fa	contig00002	103688	106588	+	VFG050929(gb|WP_000898324.1)	1-2901/3327	========/=====.	2/4	87.14	86.60	VFDB_full		VFG050929(gb|WP_000898324.1) (vgrG/tssI) type VI secretion system tip protein VgrG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii MDR-TJ]	
AA010_contigs.fa	contig00002	147835	148737	+	VFG037822(gb|WP_000240700)	1-903/903	===============	0/0	100.00	87.38	VFDB_full		VFG037822(gb|WP_000240700) (lpxC) UDP-3-O-acyl-N-acetylglucosamine deacetylase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]	
AA010_contigs.fa	contig00002	307184	308242	+	VFG050321(gb|WP_002014066.1)	1-1059/1059	===============	0/0	100.00	88.20	VFDB_full		VFG050321(gb|WP_002014066.1) (pilM) pilus assembly protein PilM [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii MDR-ZJ06]	
AA010_contigs.fa	contig00002	308242	308883	+	VFG050334(gb|WP_000201227.1)	1-642/642	===============	0/0	100.00	80.22	VFDB_full		VFG050334(gb|WP_000201227.1) (pilN) PilN domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii D1279779]	
AA010_contigs.fa	contig00002	308880	309535	+	VFG050351(gb|WP_000076101.1)	1-656/741	==============.	0/0	88.53	80.64	VFDB_full		VFG050351(gb|WP_000076101.1) (pilO) type 4a pilus biogenesis protein PilO [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii SDF]	
