File_prefix	new_file_prefix	File	Strain.name	Assembly	Locus	BioSample	BioProject	Source	Paper	Dataset	Host	Generic_host	host_simple	Strain	Location	Country	Altered.Collection.Date	Collection.Date	Submission.Date	Species	Short.species	Assembly.Method	Genome.Representation	Largest.contig	Total.length	X..contigs.....0.bp.	Genome.Coverage	Sequencing.Technology	Assembly.Length	Journal	Authors	Title	X..contigs.....1000.bp.	X..contigs.....5000.bp.	X..contigs.....10000.bp.	X..contigs.....25000.bp.	X..contigs.....50000.bp.	Total.length.....0.bp.	Total.length.....1000.bp.	Total.length.....5000.bp.	Total.length.....10000.bp.	Total.length.....25000.bp.	Total.length.....50000.bp.	X..contigs	GC....	N50	N75	L50	L75	X..N.s.per.100.kbp	Cluster.x	Lane	Study.number	Sample.number	Prodigiosin.producers	Bag.Number	Manual.species	Phenon_1977	Phenon_from_s_plymuthica_and_S_odorifera	Phenon_from_liq_prot_grim_complex_paper	Additional.Strain.Names	Date.on.tube	Biotype	Additional.Information	new_biotype_prev	new_biotype	ref_for_this_new_biotype	misc_biotype_info	two_word_species	Cluster.y	new_dataset	Mosquito	Collection	MosAIC_source_specific	MosAIC_source_lab	Location 	MosAIC_lab_field	Mosquito_spp	host_species_non_mosquito	life_stage_non_mosquito	sex_non_mosquito	tissue_non_mosquito	mosquito_species	mosquito_strain_lab	mosquito_life_stage	mosquito_sex	mosquito_female_feeding_status	mosquito_tissue
26968_7_1	26968_7_1	NA	4026	NA	NA	NA	NA	Caprifig	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	Caprifig	Plant	Plant	4026	USA: California:Winters	USA	NA	September; 1977	NA	Serratia ficaria	Serratia ficaria	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1310817	5160177	24	NA	Technology :: Illumina MiSeq	5162389	NA	NA	Grimont; P. A. D.; Grimont; F. and Starr; M. P. (1979) 闂備胶鍋ㄩ崕鏌ュΧ缁叉笧ratia ficaria sp. nov.; a bacterial species associated with Smyrna figs and the fig wasp Blastophaga psenes闂; Current Microbiology; 2(5); pp. 277闂282. doi: 10.1007/BF02602859.	16	13	13	13	10	5162389	5158904	5151295	5151295	5151295	5045072	18	60.18	581386	452793	3	5	0.06	Serratia ficaria	26968_7#1	5179STDY7638017	2_2	NA	2	Serratia ficaria	NA	NA	NA	ICPB 4052	NA	NA	NA	Sfic	Sfic	NA	NA	Serratia ficaria	3	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_10	26968_7_10	NA	5492	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	5492	NA	Unknown	NA	NA	NA	Serratia ficaria	Serratia ficaria	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	364280	5319816	69	NA	Technology :: Illumina MiSeq	5321316	NA	NA	NA	59	48	42	37	28	5321316	5315525	5285040	5246303	5155930	4839246	65	60.08	226442	115031	9	17	2.29	Serratia ficaria	26968_7#10	5179STDY7638029	6_27	NA	6	Serratia ficaria	NA	NA	NA	NA	NA	NA	NA	Sfic	Sfic	NA	NA	Serratia ficaria	3	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_100	26968_7_100	NA	9904872	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	9904872	NA	Unknown	NA	NA	NA	Serratia liquefaciens	Serratia liquefaciens	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	695293	5603565	46	NA	Technology :: Illumina MiSeq	5605141	NA	NA	NA	41	35	30	27	21	5605141	5602759	5590555	5553058	5505268	5302047	42	55.21	323777	171441	6	12	1.37	Serratia liquefaciens	26968_7#100	5179STDY7638129	11_2_4	NA	11	Serratia liquefaciens	NA	NA	NA	NA	NA	NA	NA	RQ	RQ	NA	NA	Serratia liquefaciens	2	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_101	26968_7_101	NA	4364	NA	NA	NA	NA	Mushroom	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	Mushroom	Plant	Plant	4364	NA	Unknown	NA	NA	NA	Serratia proteamaculans	Serratia proteamaculans	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1515101	5809385	53	NA	Technology :: Illumina MiSeq	5816080	NA	NA	Grimont; P. A. D.; Grimont; F. and Irino; K. (1982) 闂備胶鍋ㄩ崕鏌ュΧochemical characterization of Serratia liquefaciens sensu stricto; Serratia proteamaculans; and Serratia grimesii sp. nov.闂; Current Microbiology; 7(2); pp. 69闂74. doi: 10.1007/BF01568416.	30	24	18	16	13	5816080	5806368	5795613	5750244	5719997	5622186	35	54.72	692795	310809	3	6	35.32	Serratia proteamaculans subsp. quinovorans	26968_7#101	5179STDY7638130	13_14	NA	13	Serratia proteamaculans	NA	NA	RQ	ATCC33765;CIP8195	27/09/1988	NA	NA	NA	NA	NA	NA	Serratia proteamaculans	6	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_102	26968_7_102	NA	336	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	336	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1188634	5560674	22	NA	Technology :: Illumina MiSeq	5561448	NA	NA	NA	19	18	17	16	11	5561448	5559999	5558566	5553507	5533654	5376748	20	54.87	910803	291681	3	5	0.02	Serratia proteamaculans subsp. quinovorans	26968_7#102	5179STDY7638131	15_13	NA	15	Serratia proteamaculans	NA	NA	NA	NA	16/07/1992	NA	NA	NA	NA	NA	NA	Serratia entomophila	6	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_104	26968_7_104	NA	9107435	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	9107435	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	970054	4932856	49	NA	Technology :: Illumina MiSeq	4936795	NA	NA	NA	34	26	23	21	19	4936795	4929355	4912869	4892281	4860870	4790737	39	59.25	359206	161666	5	10	0.06	Serratia entomophila	26968_7#104	5179STDY7638133	16_13	NA	16	Serratia entomophila	NA	NA	NA	NA	01/09/1992	NA	Serratia entemophila + 1	NA	NA	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_105	26968_7_105	NA	9107443	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	9107443	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	657960	5157636	56	NA	Technology :: Illumina MiSeq	5159281	NA	NA	NA	47	37	33	31	25	5159281	5154504	5123527	5091607	5049362	4845253	52	58.81	250688	128788	7	14	0.95	Serratia entomophila	26968_7#105	5179STDY7638134	16_27	NA	16	Serratia entomophila	NA	NA	NA	NA	12/01/1993	NA	verification	NA	NA	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_106	26968_7_106	NA	BC+B	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	BC+B	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	766368	5083696	44	NA	Technology :: Illumina MiSeq	5086893	NA	NA	NA	33	26	24	22	19	5086893	5081603	5064808	5051800	5027357	4923255	36	58.99	358814	164605	5	11	4.29	Serratia entomophila	26968_7#106	5179STDY7638135	17_14	NA	17	Serratia entomophila	NA	NA	NA	NA	23/07/1992	NA	actually BC+B	NA	NA	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_107	26968_7_107	NA	A14	NA	NA	NA	NA	Montalto (Canterbury; New Zealand); mature pasture; 122 grass grubs/m2; 32% diseased	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Costelytra zealandica	Insect	A14	New Zealand: Canterbury:Montalto	New Zealand	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1337362	4958247	23	NA	Technology :: Illumina MiSeq	4960185	NA	NA	Grimont; P. a. D. et al. (1988) 闂備胶鍋ㄩ崕鏌ュΧ缁叉笧ratia entomophila sp. nov. Associated with Amber Disease in the New Zealand Grass Grub Costelytra zealandica闂; International Journal of Systematic Bacteriology; 38(1); pp. 1闂6. doi: 10.1099/00207713-38-1-1.	15	13	13	13	10	4960185	4955894	4952702	4952702	4952702	4831587	18	59.09	1271879	335728	2	5	1.23	Serratia entomophila	26968_7#107	5179STDY7638136	10_2	NA	10	Serratia entomophila	NA	NA	NA	NA	27/10/1987	A14	1st tube pour l'ATCC; other 3 pour le CDC  - 23/02/89	Sen 2	Sen 2	Grimont1988	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_108	26968_7_108	NA	3.88	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	3.88	NA	Unknown	NA	NA	NA	Serratia liquefaciens	Serratia liquefaciens	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	3179973	5150370	10	NA	Technology :: Illumina MiSeq	5150684	NA	NA	NA	9	9	8	8	6	5150684	5150370	5150370	5143357	5143357	5085286	9	55.43	3179973	692731	1	2	4.19	Serratia liquefaciens	26968_7#108	5179STDY7638137	11_8	NA	11	Serratia liquefaciens	NA	NA	NA	NA	04/11/1988	NA	NA	NA	NA	NA	NA	Serratia liquefaciens	2	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
