assembly	contigs_0bp	contigs_1000bp	contigs_5000bp	contigs_10000bp	contigs_25000bp	contigs_50000bp	total_length_0bp	total_length_1000bp	total_length_5000bp	total_length_10000bp	total_length_25000bp	total_length_50000bp	no_contigs	largest_contig	total_length	GC_perc	N50	N75	L50	L75	total_reads	left	right	perc_mapped	perc_properly_paired	avg_coverage	coverage_over_1x	Ns_per_100kbp 
Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# total reads	# left	# right	Mapped (%)	Properly paired (%)	Avg. coverage depth	Coverage >= 1x (%)	# N's per 100 kbp
MMO_102_contigs	79	20	15	14	14	11	5499790	5485070	5474571	5468828	5468828	5385992	25	1172327	5488314	59.68	697572	346439	3	6	4307220	2104085	2104085	99.25	93.07	114	100	0
Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# total reads	# left	# right	Mapped (%)	Properly paired (%)	Avg. coverage depth	Coverage >= 1x (%)	# N's per 100 kbp
MMO_103_contigs	97	34	25	23	21	18	4947236	4925395	4905674	4891738	4851763	4767576	50	691000	4935909	54.8	511841	245787	4	9	4275259	2123962	2123962	99.74	97.2	128	100	0
Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# total reads	# left	# right	Mapped (%)	Properly paired (%)	Avg. coverage depth	Coverage >= 1x (%)	# N's per 100 kbp
MMO_104_contigs	56	18	16	15	14	13	6266189	6255060	6250769	6243683	6220209	6194444	23	1328555	6257992	67.84	667252	409566	4	6	8722572	4263826	4263826	99.57	93.48	203	100	0
Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# total reads	# left	# right	Mapped (%)	Properly paired (%)	Avg. coverage depth	Coverage >= 1x (%)	# N's per 100 kbp
MMO_105_contigs	38	25	19	17	14	13	4154769	4151729	4143830	4129067	4086884	4059723	26	645362	4152325	35.31	408763	332627	4	7	3768033	1876280	1876280	99.83	97.87	135	100	0
Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# total reads	# left	# right	Mapped (%)	Properly paired (%)	Avg. coverage depth	Coverage >= 1x (%)	# N's per 100 kbp
MMO_108_contigs	242	107	82	66	49	26	6226159	6183711	6115190	6001531	5737290	4869634	134	682318	6201129	39.98	170037	63271	10	23	6266781	3120027	3120027	99.69	97.18	150	100	0
