number_file	percent_coverage	percent_identity	category	Gene	product
AA010_contigs.fa	95.83	82.72	Immune modulation	lpxM	  lipid A biosynthesis lauroyl acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ATCC 17978]
AA010_contigs.fa	99.03	84.18	Biofilm	adeH	  outer membrane protein [AdeFGH efflux pump (VF0504) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	91.26	Biofilm	adeG	  cation/multidrug efflux pump [AdeFGH efflux pump (VF0504) - Biofilm (VFC0271)] [Acinetobacter baumannii BJAB0715]
AA010_contigs.fa	100	87.31	Biofilm	adeF	  membrane-fusion protein [AdeFGH efflux pump (VF0504) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	85.67	Effector delivery system	gspE2	  putative secretion pathway ATPase [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii SDF]
AA010_contigs.fa	100	82.37	Effector delivery system	gspL	  general secretion pathway protein L [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]
AA010_contigs.fa	100	86.46	Effector delivery system	gspM	  general secretion pathway protein M [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii AYE]
AA010_contigs.fa	100	81.97	Biofilm	pgaC	  poly-beta-16 N-acetyl-D-glucosamine synthase [PNAG (VF0472) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	92.2	Exoenzyme	cpaA	  metalloendopeptidase CpaA [CpaA (VF1336) - Exoenzyme (VFC0251)] [Acinetobacter baumannii BJAB0715]
AA010_contigs.fa	100	89.73	Exotoxin	plc2	  phospholipase C [Phospholipase C (VF0470) - Exotoxin (VFC0235)] [Acinetobacter baumannii SDF]
AA010_contigs.fa	99.81	85.65	Immune modulation	lpxD	  UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	100	84.03	Immune modulation	lpxA	  acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	100	89.12	Immune modulation	lpxB	  lipid-A-disaccharide synthase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	97.71	81.24	Effector delivery system	gspK	  general secretion pathway protein K [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	85.47	83	Effector delivery system	gspJ	  general secretion pathway protein J [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii SDF]
AA010_contigs.fa	100	83.99	Effector delivery system	gspI	  general secretion pathway protein I [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	99.64	81.51	Effector delivery system	gspH	  general secretion pathway protein H [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii AYE]
AA010_contigs.fa	87.14	86.6	Effector delivery system	vgrG/tssI	  type VI secretion system tip protein VgrG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii MDR-TJ]
AA010_contigs.fa	100	87.38	Immune modulation	lpxC	  UDP-3-O-acyl-N-acetylglucosamine deacetylase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	88.2	Adherence	pilM	  pilus assembly protein PilM [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii MDR-ZJ06]
AA010_contigs.fa	100	80.22	Adherence	pilN	  PilN domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	88.53	80.64	Adherence	pilO	  type 4a pilus biogenesis protein PilO [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii SDF]
AA010_contigs.fa	100	82.95	Adherence	pilP	  pilus assembly protein PilP [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	99.79	82.64	Effector delivery system	tagX	  type VI-associated gene X peptidoglycan hydrolase [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	86.86	Effector delivery system	tssL	  type IVB secretion system protein TssL [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	85.79	Effector delivery system	tssK	  type VI secretion system baseplate subunit TssK [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]
AA010_contigs.fa	100	83.74	Effector delivery system	tssA	  type VI secretion system protein TssA [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	99.85	85.74	Effector delivery system	clpV/tssH	  type VI secretion system ATPase TssH [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]
AA010_contigs.fa	99.9	85.36	Effector delivery system	tssM	  type VI secretion system membrane subunit TssM [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]
AA010_contigs.fa	98.9	80.1	Effector delivery system	tssG	  type VI secretion system baseplate subunit TssG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii SDF]
AA010_contigs.fa	99.83	82.7	Effector delivery system	tssF	  type VI secretion system baseplate subunit TssF [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	89.73	Effector delivery system	tssE	  type VI secretion system baseplate subunit TssE [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]
AA010_contigs.fa	100	92.66	Effector delivery system	hcp/tssD	  type VI secretion system tube protein Hcp [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]
AA010_contigs.fa	100	91.09	Effector delivery system	tssC	  type VI secretion system contractile sheath large subunit [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	91.47	Effector delivery system	tssB	  type VI secretion system contractile sheath small subunit [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	95.93	87.22	Effector delivery system	tse3	  T6SS effector Tse3 unknown function [T6SS secreted effectors (VF1338) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ATCC 17978]
AA010_contigs.fa	88.23	88.23	Effector delivery system	vgrG/tssI	  type VI secretion system tip protein VgrG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	99.37	80.04	Adherence	pilR	  sigma-54 dependent transcriptional regulator [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii 1656-2]
AA010_contigs.fa	100	84.89	Adherence	pilS	  PAS domain-containing sensor histidine kinase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	100	87.78	Immune modulation	pbpG	  D-alanyl-D-alanine endopeptidase PBP7/8 [PbpG (VF0468) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	100	84	Effector delivery system	gspN	  type II secretion system protein N [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	83.51	Effector delivery system	gspC	  general secretion pathway protein C [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]
AA010_contigs.fa	99.08	81.23	Effector delivery system	gspD	  general secretion pathway protein D [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]
AA010_contigs.fa	100	86.88	Adherence	gspO/pilD	  A24 family peptidase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii AYE]
AA010_contigs.fa	100	87.04	Adherence	pilC	  type II secretion system F family protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	85.99	Adherence	pilB	  type IV-A pilus assembly ATPase PilB [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	100	91.79	Effector delivery system	gspF	  general secretion pathway protein F [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	100	90.12	Effector delivery system	gspG	  general secretion pathway protein G [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	100	87.47	Immune modulation	lpsB	  glycosyltransferase family 4 protein [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	100	85.26	Immune modulation	lpxL	  LpxL/LpxP family Kdo(2)-lipid IV(A) lauroyl/palmitoleoyl acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	100	89.51	Adherence	pilF	  type IV pilus biogenesis/stability protein PilW [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	94.23	Adherence	pilI	  chemotaxis protein CheW [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	100	90.08	Adherence	pilH	  response regulator [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	92.71	Adherence	pilG	  twitching motility response regulator PilG [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	100	97.85	Immune modulation	ompA	  outer membrane protein OmpA [OmpA (VF0464) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	100	90.38	Regulation	bfmR	  biofilm-controlling response regulator [BfmRS (VF0463) - Regulation (VFC0301)] [Acinetobacter baumannii BJAB0715]
AA010_contigs.fa	100	86.12	Regulation	bfmS	  signal transduction histidine kinase [BfmRS (VF0463) - Regulation (VFC0301)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	100	88.92	Adherence	pilU	  PilT/PilU family type 4a pilus ATPase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	100	90.36	Adherence	pilT	  type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii TCDC-AB0715]
AA010_contigs.fa	100	93.15	Nutritional/Metabolic factor	ABD1_RS04515	  LysR family transcriptional regulator [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	100	96.55	Nutritional/Metabolic factor	ACICU_RS04570	  sigma-70 family RNA polymerase sigma factor [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	95.28	Nutritional/Metabolic factor	AB57_RS05105	  FecR domain-containing protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	100	95.04	Nutritional/Metabolic factor	AB57_RS05110	  TonB-dependent receptor [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	100	96.59	Nutritional/Metabolic factor	ABZJ_RS11165	  transferrin-binding protein-like solute binding protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii MDR-ZJ06]
AA010_contigs.fa	99.8	94.4	Nutritional/Metabolic factor	ACICU_RS04590	  porin family protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	92.18	Nutritional/Metabolic factor	AB57_RS05125	  energy transducer TonB [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	99.83	95.33	Nutritional/Metabolic factor	hemO	  biliverdin-producing heme oxygenase [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii BJAB0715]
AA010_contigs.fa	99.55	92.71	Nutritional/Metabolic factor	ACICU_RS04605	  YbaN family protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	100	83.7	Nutritional/Metabolic factor	AB57_RS05140	  hypothetical protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	99.95	90.13	Exotoxin	plc1	  phospholipase C [Phospholipase C (VF0470) - Exotoxin (VFC0235)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	99.86	86.33	Immune modulation	BJAB0715_RS00470	  polysaccharide biosynthesis tyrosine autokinase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii BJAB0715]
AA010_contigs.fa	100	89.98	Immune modulation	ABBFA_RS17180	  low molecular weight phosphotyrosine protein phosphatase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB307-0294]
AA010_contigs.fa	100	84.56	Immune modulation	BJAB07104_RS00470	  polysaccharide biosynthesis/export family protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii BJAB07104]
AA010_contigs.fa	100	94.2	Immune modulation	tviB	  Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	99.81	89.64	Immune modulation	tviC	  Vi polysaccharide biosynthesis UDP-N-acetylglucosaminuronic acid C-4 epimerase TviC [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	85.51	80.33	Immune modulation	ABD1_RS00290	  hypothetical protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	100	93.64	Immune modulation	ABD1_RS00300	  glycosyltransferase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	100	93.37	Immune modulation	ABD1_RS00305	  glycosyltransferase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	100	94.3	Immune modulation	ABD1_RS00310	  polysaccharide biosynthesis protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	100	90.81	Immune modulation	ABZJ_RS06290	  NAD-dependent epimerase/dehydratase family protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii MDR-ZJ06]
AA010_contigs.fa	100	92.48	Immune modulation	wecB	  UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing) [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii MDR-TJ]
AA010_contigs.fa	100	90.24	Immune modulation	ABTJ_RS18530	  glycosyltransferase family 4 protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii MDR-TJ]
AA010_contigs.fa	99.47	82.53	Immune modulation	ABZJ_RS06305	  NAD-dependent epimerase/dehydratase family protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii MDR-ZJ06]
AA010_contigs.fa	100	88.57	Immune modulation	ABTJ_RS18515	  sugar transferase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii MDR-TJ]
AA010_contigs.fa	100	85.96	Immune modulation	galU	  UTP--glucose-1-phosphate uridylyltransferase GalU [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii 1656-2]
AA010_contigs.fa	100	87.65	Immune modulation	AB57_RS00555	  nucleotide sugar dehydrogenase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	100	84.5	Immune modulation	pgi	  glucose-6-phosphate isomerase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii MDR-TJ]
AA010_contigs.fa	99.02	86.77	Immune modulation	galE	  UDP-glucose 4-epimerase GalE [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	100	91.54	Immune modulation	ABK1_RS00550	  phosphomannomutase/phosphoglucomutase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii 1656-2]
AA010_contigs.fa	89.18	88.46	Effector delivery system	vgrG/tssI	  type VI secretion system tip protein VgrG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]
AA010_contigs.fa	98.77	91.07	Biofilm	abaI	  N-acyl-L-homoserine lactone synthetase [Quorom sensing (VF0471) - Biofilm (VFC0271)] [Acinetobacter baumannii AB0057]
AA010_contigs.fa	99.86	87.15	Biofilm	abaR	  DNA-binding HTH domain-containing protein [Quorom sensing (VF0471) - Biofilm (VFC0271)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	100	81.91	Adherence	tsaP	  LysM peptidoglycan-binding domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii D1279779]
AA010_contigs.fa	99.66	87.55	Effector delivery system	gspE1	  general secretion pathway protein E [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii BJAB0715]
